imc_mean,imc_pct_gt_5,imc_pct_gt_10,olr_mean,olr_pct_lt_220,olr_pct_lt_240,ctp_mean,ctp_pct_lt_200,ctp_pct_lt_300,flood_risk
0.0773024037480354,0.2989664357478528,0.1238150218765192,-200.7337646484375,53.53714703856749,59.22012994247285,-222.43446350097656,52.1944376177603,55.47329401163267,Medium
0.0686632394790649,0.2692533625020256,0.1091800356506238,-200.42892456054688,53.27924971641549,59.04759915329768,-219.81069946289065,52.059269271729335,55.26746948472188,Medium
0.0601686239242553,0.2285893696321503,0.0909875830497488,-199.9749298095703,52.920414033381945,58.74965817938745,-221.9205017089844,52.20570164659621,55.39239780453838,Medium
0.0644105896353721,0.2552893574785286,0.1086229946524064,-199.6315460205078,52.57337749149247,58.47873369389078,-224.7670135498047,52.44327025477185,55.47329401163267,Medium
0.0576295778155326,0.2379071463296062,0.0927979662939556,-199.13677978515625,52.15925548938584,58.04184897099336,-226.12042236328125,52.53543049070205,55.5879823052347,Medium
0.0567146241664886,0.2587708637173878,0.1020904229460379,-198.34950256347656,51.65352556311781,57.50853285529087,-227.10726928710935,52.71155894159089,55.74260670107315,Medium
0.0500841028988361,0.2235127005347593,0.0879744976502998,-197.8777008056641,51.327074218117,57.12138936152974,-223.9890289306641,52.62144671090358,55.5552142213484,Medium
0.0425093583762645,0.1828360476421973,0.0652497569275644,-195.0938262939453,50.14489395964997,55.16388399368012,-238.6591339111328,53.71610551323012,56.455312525600064,Medium
0.0408340133726596,0.1683909617566034,0.0603123480797277,-194.314697265625,49.96840058337384,54.86682922135796,-228.6256256103516,53.17236012124192,55.83067092651757,Low
0.0401436649262905,0.166719838761951,0.0546279978933722,-193.28195190429688,49.59728467833414,54.4618224355858,-231.2483673095703,53.458056852625546,56.03956746129271,Low
0.0469268634915351,0.1985851158645276,0.0678577216010371,-192.9889373779297,49.50501843299303,54.37762062469616,-230.67486572265625,53.44474481854673,56.00167936429917,Low
0.0461345091462135,0.1913435828877005,0.0690224436882191,-192.6975860595703,49.46579768270944,54.32104298330904,-227.5423889160156,53.273736380765136,55.8378389448677,Low
0.0437769517302513,0.1737081712850429,0.0637052341597796,-192.82373046875,49.51199410549344,54.3925974315346,-229.5498962402344,53.394568690095845,55.89620709429016,Low
0.0446047522127628,0.1811269445794847,0.062464551936477,-192.7949676513672,49.63417598444336,54.5309588194782,-232.42774963378903,53.55431309904153,56.06721553207176,Low
0.0446879342198371,0.1745184127369956,0.059134965969859,-193.07347106933597,49.805655991735534,54.778145762437205,-231.4538726806641,53.45908085524699,55.98119931187024,Low
0.0436196215450763,0.1666185585804569,0.0467787838275806,-193.2940673828125,49.96785620239832,55.05650168125101,-234.2213287353516,53.55943311214877,56.038543458671256,Low
0.0452483482658863,0.1784050397018311,0.0471585845081834,-193.61959838867188,50.19391356749311,55.53849406498137,-235.93638610839844,53.53690505447693,56.20647988858851,Low
0.0488462336361408,0.2078395924485496,0.0549824785286015,-194.07688903808597,50.44129041079242,56.023018453249065,-234.91973876953125,53.42221676087491,56.18599983615958,Low
0.0514724254608154,0.2155115661967266,0.0640090747042618,-194.65756225585935,50.86673047318101,56.47305693971804,-236.1063995361328,53.42528876873924,56.25665601703941,Low
0.0547112412750721,0.2377172459893048,0.0703137660022686,-195.12109375,51.28140951628586,56.84766701101929,-236.01187133789065,53.37613664290981,56.1644957811092,Medium
0.0607718080282211,0.2800397018311457,0.0879744976502998,-195.5516662597656,51.56401920272241,57.09019506562956,-234.8649139404297,53.30548046202998,56.01703940362087,Medium
0.0632482916116714,0.2856860719494409,0.103457705396208,-196.1807556152344,51.863010958515645,57.40597401150544,-231.018310546875,53.066887851232906,55.72110264602277,Medium
0.0646673068404197,0.3022707016690974,0.1067872913628261,-196.23892211914065,52.03561770782693,57.60531872873116,-229.7513885498047,53.03616777258949,55.65454247562873,Medium
0.0706588104367256,0.3369211837627613,0.1277776089774752,-196.8113250732422,52.26689100226868,57.93373237724842,-226.4971160888672,52.833415253543045,55.37498975997378,Medium
0.0714821144938469,0.3345790795657106,0.1333480189596499,-197.46006774902344,52.48545363393291,58.220545191216985,-228.22708129882807,52.90509543704432,55.477390022118456,Medium
0.0731178969144821,0.3262234645924485,0.1351584022038567,-197.88153076171875,52.689216699076326,58.47346712445308,-227.51220703125,52.82419922995003,55.47943802736135,Medium
0.0764676705002784,0.3238813603953978,0.1474006441419543,-198.45535278320312,52.89609412980069,58.79415815913143,-224.0736083984375,52.57843860080281,55.26849348734333,Medium
0.080206923186779,0.3337055380003241,0.1557562591152163,-199.01046752929688,53.07129618376276,59.026659475773776,-223.7269744873047,52.52928647497338,55.24494142705005,Medium
0.0855588391423225,0.3595573043266893,0.1754172743477556,-200.2003631591797,53.39473444336412,59.44208546021714,-221.9099884033203,52.39002211845663,55.12206111247645,Medium
0.0722005441784858,0.2942569073083779,0.1412858531842489,-201.83493041992188,53.79600652244368,59.901593643655815,-209.8470916748047,51.61894814450725,54.37351519619891,Medium
0.0662674009799957,0.2675569194619996,0.1341456003889159,-202.0731506347656,53.82292173067575,59.94814454707503,-211.12550354003903,51.70598836733022,54.45953141640043,Medium
0.0580440126359462,0.2433636161076,0.1094205760816723,-200.984130859375,53.58268514017177,59.71560525036461,-206.848388671875,51.50118784304088,54.1410666011305,Medium
0.0463204197585582,0.1786709001782531,0.0787959812023983,-200.44081115722656,53.46423796791444,59.63180856020094,-203.29782104492188,51.28819529777996,53.88404194314737,Low
0.0479270964860916,0.2036617849619186,0.0884935585804569,-200.2617034912109,53.30829180845892,59.58756178091071,-203.30638122558597,51.26157122962235,53.81952977799623,Medium
0.0509167946875095,0.2135619227029654,0.0974188745746232,-200.5034942626953,53.40816672743478,59.77404391508669,-207.833251953125,51.49401982469075,54.01511427869256,Medium
0.0482302829623222,0.2023071625344352,0.081403945875871,-200.7816467285156,53.54245158807325,60.08106212526333,-203.2798767089844,51.11718685999836,53.69869746866552,Medium
0.0448494330048561,0.184760371090585,0.0741877329444174,-201.2750396728516,53.63283149003403,60.32389402041809,-201.32081604003903,50.92774637503072,53.47648889981158,Medium
0.0441254898905754,0.1877354764219737,0.0735547318100794,-201.27528381347656,53.64689677523901,60.40595628747367,-202.2406463623047,50.979970508724506,53.51642500204801,Medium
0.0426214188337326,0.1712394668611246,0.0679969818505914,-201.34901428222656,53.52919654432021,60.33127481364446,-203.60337829589844,51.04448267387565,53.5799131645777,Medium
0.0429940894246101,0.1772656376600227,0.0714151879760168,-201.34454345703125,53.507028844595695,60.2655439758548,-205.20730590820312,51.087490783976406,53.64954534283608,Medium
