filename,height,width,mean,std,min,max,pct_gt_1,pct_gt_5,pct_gt_10,timestamp,processed_at
3RIMG_23JAN2026_1415_L2B_IMC_V01R00.h5,2816,2805,0.0714821144938469,1.0912030935287476,0.0,60.0,1.1256532571706368,0.3345790795657106,0.13334801895964998,13708215.0,2026-02-14T17:47:01.055835
3RIMG_23JAN2026_1445_L2B_IMC_V01R00.h5,2816,2805,0.07311789691448212,1.1639924049377441,0.0,60.0,1.105270620644952,0.32622346459244855,0.13515840220385675,13708245.0,2026-02-14T17:47:01.163052
3RIMG_23JAN2026_1515_L2B_IMC_V01R00.h5,2816,2805,0.07646767050027847,1.2461662292480469,0.0,60.0,1.1084356263166422,0.32388136039539783,0.1474006441419543,13708275.0,2026-02-14T17:47:01.265636
3RIMG_23JAN2026_1545_L2B_IMC_V01R00.h5,2816,2805,0.08020692318677902,1.3081660270690918,0.0,60.0,1.1362876762275158,0.3337055380003241,0.15575625911521634,13708305.0,2026-02-14T17:47:01.372161
3RIMG_23JAN2026_1615_L2B_IMC_V01R00.h5,2816,2805,0.08555883914232254,1.3634551763534546,0.0,60.0,1.167064191379031,0.35955730432668936,0.17541727434775561,13708335.0,2026-02-14T17:47:01.478679
3RIMG_23JAN2026_1645_L2B_IMC_V01R00.h5,2816,2805,0.07220054417848587,1.1624335050582886,0.0,60.0,1.0966364851725814,0.2942569073083779,0.1412858531842489,13708365.0,2026-02-14T17:47:01.585210
3RIMG_23JAN2026_1715_L2B_IMC_V01R00.h5,2816,2805,0.06626740097999573,1.0678573846817017,0.0,60.0,1.0459204342894184,0.26755691946199966,0.1341456003889159,13708395.0,2026-02-14T17:47:01.693550
3RIMG_23JAN2026_1745_L2B_IMC_V01R00.h5,2816,2805,0.058044012635946274,0.907261073589325,0.0,60.0,1.0037119186517582,0.24336361610760004,0.10942057608167234,13708425.0,2026-02-14T17:47:01.795576
3RIMG_23JAN2026_1815_L2B_IMC_V01R00.h5,2816,2805,0.04632041975855827,0.7693010568618774,0.0,60.0,0.8330168327661643,0.17867090017825313,0.07879598120239832,13708455.0,2026-02-14T17:47:01.895111
3RIMG_23JAN2026_1845_L2B_IMC_V01R00.h5,2816,2805,0.047927096486091614,0.7223449945449829,0.0,60.0,0.8662240722735375,0.20366178496191864,0.08849355858045697,13708485.0,2026-02-14T17:47:01.996622
3RIMG_23JAN2026_1915_L2B_IMC_V01R00.h5,2816,2805,0.05091679468750954,0.7962467074394226,0.0,60.0,0.8891640333819478,0.21356192270296548,0.09741887457462324,13708515.0,2026-02-14T17:47:02.103213
3RIMG_23JAN2026_1945_L2B_IMC_V01R00.h5,2816,2805,0.048230282962322235,0.7453450560569763,0.0,60.0,0.8787448347107438,0.20230716253443526,0.081403945875871,13708545.0,2026-02-14T17:47:02.212724
3RIMG_23JAN2026_2015_L2B_IMC_V01R00.h5,2816,2805,0.04484943300485611,0.714968204498291,0.0,60.0,0.822509013936153,0.184760371090585,0.07418773294441744,13708575.0,2026-02-14T17:47:02.316239
3RIMG_23JAN2026_2045_L2B_IMC_V01R00.h5,2816,2805,0.04412548989057541,0.6651046872138977,0.0,60.0,0.8450438543185869,0.18773547642197375,0.0735547318100794,13708605.0,2026-02-14T17:47:02.422755
3RIMG_23JAN2026_2115_L2B_IMC_V01R00.h5,2816,2805,0.042621418833732605,0.6611467003822327,0.0,60.0,0.835257656781721,0.17123946686112462,0.06799698185059147,13708635.0,2026-02-14T17:47:02.526348
3RIMG_23JAN2026_2145_L2B_IMC_V01R00.h5,2816,2805,0.04299408942461014,0.6579317450523376,0.0,60.0,0.823623095932588,0.1772656376600227,0.07141518797601686,13708665.0,2026-02-14T17:47:02.631886
3RIMG_23JAN2026_2215_L2B_IMC_V01R00.h5,2816,2805,0.041210200637578964,0.6038552522659302,0.0,60.0,0.8229394547075028,0.17155596742829363,0.06497123642845569,13708695.0,2026-02-14T17:47:02.755924
3RIMG_23JAN2026_2245_L2B_IMC_V01R00.h5,2816,2805,0.039376236498355865,0.625430166721344,0.0,60.0,0.7742490074542214,0.154186416302058,0.05819812429103873,13708725.0,2026-02-14T17:47:02.861974
3RIMG_23JAN2026_2315_L2B_IMC_V01R00.h5,2816,2805,0.040409136563539505,0.6318010091781616,0.0,60.0,0.7948088842975206,0.16106080862096905,0.06181889077945228,13708755.0,2026-02-14T17:47:02.963059
