filename,height,width,mean,std,min,max,pct_lt_220,pct_lt_240,pct_lt_260,timestamp,processed_at
3RIMG_23JAN2026_0015_L2B_OLR_V01R00.h5,2816,2805,-200.7337646484375,595.64697265625,-999.0,339.2877197265625,53.53714703856749,59.22012994247285,68.69201709609463,13707375.0,2026-02-15T03:21:41.349841
3RIMG_23JAN2026_0045_L2B_OLR_V01R00.h5,2816,2805,-200.42892456054688,596.0089111328125,-999.0,344.6278381347656,53.27924971641549,59.04759915329768,68.38999959487927,13707405.0,2026-02-15T03:21:41.559459
3RIMG_23JAN2026_0115_L2B_OLR_V01R00.h5,2816,2805,-199.9749298095703,596.4166870117188,-999.0,352.5924377441406,52.920414033381945,58.74965817938745,67.98554985010533,13707435.0,2026-02-15T03:21:41.773290
3RIMG_23JAN2026_0145_L2B_OLR_V01R00.h5,2816,2805,-199.6315460205078,596.7706298828125,-999.0,357.1368103027344,52.573377491492465,58.47873369389078,67.73689434451467,13707465.0,2026-02-15T03:21:41.975078
3RIMG_23JAN2026_0215_L2B_OLR_V01R00.h5,2816,2805,-199.13677978515625,597.1825561523438,-999.0,361.20733642578125,52.159255489385835,58.04184897099336,67.42748339005024,13707495.0,2026-02-15T03:21:42.171492
3RIMG_23JAN2026_0245_L2B_OLR_V01R00.h5,2816,2805,-198.34950256347656,597.539794921875,-999.0,361.5306091308594,51.65352556311781,57.50853285529087,66.9885983835683,13707525.0,2026-02-15T03:21:42.374050
3RIMG_23JAN2026_0315_L2B_OLR_V01R00.h5,2816,2805,-197.87770080566406,597.8722534179688,-999.0,362.4693908691406,51.327074218117,57.12138936152974,66.59192189272403,13707555.0,2026-02-15T03:21:42.575893
3RIMG_23JAN2026_0345_L2B_OLR_V01R00.h5,2816,2805,-197.3751220703125,598.5626220703125,-999.0,364.1403503417969,50.97061861934856,56.50840372305947,65.74799212040188,13707585.0,2026-02-15T03:21:42.777336
3RIMG_23JAN2026_0515_L2B_OLR_V01R00.h5,2816,2805,-195.0938262939453,600.1395263671875,-999.0,364.3223876953125,50.14489395964997,55.163883993680116,63.52557577783179,13707675.0,2026-02-15T03:21:42.979728
3RIMG_23JAN2026_0545_L2B_OLR_V01R00.h5,2816,2805,-194.314697265625,600.6944580078125,-999.0,362.332275390625,49.96840058337384,54.86682922135796,63.00840119105493,13707705.0,2026-02-15T03:21:43.180584
3RIMG_23JAN2026_0615_L2B_OLR_V01R00.h5,2816,2805,-193.6975555419922,601.3031616210938,-999.0,360.3583984375,49.70390738940204,54.52040036055744,62.374045434289414,13707735.0,2026-02-15T03:21:43.381651
3RIMG_23JAN2026_0645_L2B_OLR_V01R00.h5,2816,2805,-193.28195190429688,601.5792236328125,-999.0,356.2883605957031,49.59728467833414,54.4618224355858,62.05115155566359,13707765.0,2026-02-15T03:21:43.579897
3RIMG_23JAN2026_0715_L2B_OLR_V01R00.h5,2816,2805,-192.9889373779297,601.8488159179688,-999.0,352.3589172363281,49.50501843299303,54.377620624696156,61.896661298817044,13707795.0,2026-02-15T03:21:43.792836
3RIMG_23JAN2026_0745_L2B_OLR_V01R00.h5,2816,2805,-192.6975860595703,601.9730834960938,-999.0,348.3161926269531,49.46579768270944,54.321042983309034,61.875835561497325,13707825.0,2026-02-15T03:21:43.988935
3RIMG_23JAN2026_0815_L2B_OLR_V01R00.h5,2816,2805,-192.82373046875,602.0873413085938,-999.0,347.4328308105469,49.511994105493436,54.3925974315346,61.92161420353265,13707855.0,2026-02-15T03:21:44.224239
3RIMG_23JAN2026_0845_L2B_OLR_V01R00.h5,2816,2805,-192.7949676513672,601.9710083007812,-999.0,354.1806640625,49.63417598444336,54.5309588194782,62.01465271025766,13707885.0,2026-02-15T03:21:44.424501
3RIMG_23JAN2026_0915_L2B_OLR_V01R00.h5,2816,2805,-193.07347106933594,601.8427734375,-999.0,358.1130676269531,49.805655991735534,54.778145762437205,62.30160478447577,13707915.0,2026-02-15T03:21:44.624071
3RIMG_23JAN2026_0945_L2B_OLR_V01R00.h5,2816,2805,-193.2940673828125,601.64990234375,-999.0,359.86968994140625,49.967856202398316,55.056501681251014,62.65388257575758,13707945.0,2026-02-15T03:21:44.824992
3RIMG_23JAN2026_1015_L2B_OLR_V01R00.h5,2816,2805,-193.61959838867188,601.33740234375,-999.0,363.6268310546875,50.19391356749311,55.53849406498137,63.045064616755795,13707975.0,2026-02-15T03:21:45.025628
3RIMG_23JAN2026_1045_L2B_OLR_V01R00.h5,2816,2805,-194.07688903808594,601.0332641601562,-999.0,363.68560791015625,50.44129041079242,56.023018453249065,63.314837040187975,13708005.0,2026-02-15T03:21:45.217317
3RIMG_23JAN2026_1115_L2B_OLR_V01R00.h5,2816,2805,-194.65756225585938,600.5508422851562,-999.0,363.6983337402344,50.86673047318101,56.473056939718035,63.66903915491816,13708035.0,2026-02-15T03:21:45.421387
3RIMG_23JAN2026_1145_L2B_OLR_V01R00.h5,2816,2805,-195.12109375,600.1898193359375,-999.0,365.3821716308594,51.28140951628586,56.84766701101929,63.99519931939718,13708065.0,2026-02-15T03:21:45.616204
3RIMG_23JAN2026_1215_L2B_OLR_V01R00.h5,2816,2805,-195.55166625976562,599.8793334960938,-999.0,363.7761535644531,51.56401920272241,57.09019506562956,64.25338782207098,13708095.0,2026-02-15T03:21:45.820199
3RIMG_23JAN2026_1245_L2B_OLR_V01R00.h5,2816,2805,-196.18075561523438,599.5189819335938,-999.0,360.2209777832031,51.863010958515645,57.405974011505435,64.64281011991574,13708125.0,2026-02-15T03:21:46.027779
3RIMG_23JAN2026_1315_L2B_OLR_V01R00.h5,2816,2805,-196.23892211914062,599.1690063476562,-999.0,357.3737487792969,52.03561770782693,57.605318728731156,64.81465726786583,13708155.0,2026-02-15T03:21:46.267922
3RIMG_23JAN2026_1345_L2B_OLR_V01R00.h5,2816,2805,-196.8113250732422,598.80126953125,-999.0,352.3407287597656,52.26689100226868,57.93373237724842,65.1329175781883,13708185.0,2026-02-15T03:21:46.532647
3RIMG_23JAN2026_1415_L2B_OLR_V01R00.h5,2816,2805,-197.46006774902344,598.4410400390625,-999.0,349.29736328125,52.48545363393291,58.220545191216985,65.50460318424891,13708215.0,2026-02-15T03:21:46.733796
3RIMG_23JAN2026_1445_L2B_OLR_V01R00.h5,2816,2805,-197.88153076171875,597.99853515625,-999.0,342.6375427246094,52.689216699076326,58.47346712445308,65.85199420677363,13708245.0,2026-02-15T03:21:46.930626
3RIMG_23JAN2026_1515_L2B_OLR_V01R00.h5,2816,2805,-198.45535278320312,597.4736328125,-999.0,335.996337890625,52.89609412980069,58.79415815913143,66.41512467590341,13708275.0,2026-02-15T03:21:47.113112
