filename,height,width,ctp_mean,ctp_std,ctp_min,ctp_max,pct_ctp_lt_300,pct_ctp_lt_200,ctt_mean,ctt_std,pct_ctt_lt_220,pct_ctt_lt_240,timestamp,processed_at
3RIMG_24JAN2026_0515_L2B_CTP_V01R00.h5,313,312,-232.64210510253906,806.3873901367188,-999.0,778.51611328125,55.281805521422136,53.19796018677808,-392.97344970703125,631.6343383789062,53.55943311214877,58.58830998607356,13709485.685139533,2026-02-15T03:34:05.429063
3RIMG_24JAN2026_0545_L2B_CTP_V01R00.h5,313,312,-231.85328674316406,807.8787231445312,-999.0,778.633544921875,55.304333579093964,53.26349635455067,-393.3348083496094,631.7371826171875,53.61063324322111,58.538133857622675,13709543.57020395,2026-02-15T03:34:05.446576
3RIMG_24JAN2026_0615_L2B_CTP_V01R00.h5,313,312,-235.14210510253906,808.8865966796875,-999.0,779.77978515625,55.56852625542721,53.51232899156222,-396.689208984375,631.7283325195312,53.83796182518227,58.6241500778242,13709553.594802167,2026-02-15T03:34:05.465576
3RIMG_24JAN2026_0645_L2B_CTP_V01R00.h5,313,312,-227.91822814941406,811.0197143554688,-999.0,780.6806030273438,55.26644548210044,53.16416810027034,-392.1456604003906,632.1345825195312,53.46522487097567,58.2165970344884,13709583.970995849,2026-02-15T03:34:05.483576
3RIMG_24JAN2026_0715_L2B_CTP_V01R00.h5,313,312,-225.56643676757812,812.2224731445312,-999.0,780.8878173828125,55.16404521995576,53.10272794298353,-391.0011901855469,632.3014526367188,53.392520684852954,58.080404685835994,13709634.347175432,2026-02-15T03:34:05.503039
3RIMG_24JAN2026_0745_L2B_CTP_V01R00.h5,313,312,-216.81793212890625,813.0194702148438,-999.0,778.9464111328125,54.6674039485541,52.59072663226018,-384.3791198730469,632.61962890625,52.896903416072746,57.64110756123536,13709661.323830385,2026-02-15T03:34:05.522042
3RIMG_24JAN2026_0815_L2B_CTP_V01R00.h5,313,312,-214.2771759033203,813.116455078125,-999.0,778.048583984375,54.5598836733022,52.45863029409355,-382.3455505371094,632.6627807617188,52.78221512247071,57.597075448513145,13709678.108079316,2026-02-15T03:34:05.539051
3RIMG_24JAN2026_0845_L2B_CTP_V01R00.h5,313,312,-214.00753784179688,812.9364013671875,-999.0,781.8682250976562,54.610059801753096,52.39411812894241,-381.94921875,632.6557006835938,52.73408699926272,57.64110756123536,13709739.176149549,2026-02-15T03:34:05.557560
3RIMG_24JAN2026_0915_L2B_CTP_V01R00.h5,313,312,-214.04202270507812,812.8687744140625,-999.0,781.8345947265625,54.691980011468836,52.404358155156885,-381.8590087890625,632.6587524414062,52.7248709756697,57.673875645121655,13709752.873302016,2026-02-15T03:34:05.577560
3RIMG_24JAN2026_0945_L2B_CTP_V01R00.h5,313,312,-215.89317321777344,812.4974365234375,-999.0,781.4783935546875,54.82919636274269,52.49447038584418,-383.0910949707031,632.5617065429688,52.84672728762185,57.902228229704264,13709774.559594465,2026-02-15T03:34:05.596841
3RIMG_24JAN2026_1015_L2B_CTP_V01R00.h5,313,312,-215.9707794189453,811.7703857421875,-999.0,780.6309204101562,54.77799623167036,52.46067829933645,-382.6203918457031,632.4874877929688,52.81907921684279,57.90120422708283,13709818.464380134,2026-02-15T03:34:05.614158
3RIMG_24JAN2026_1045_L2B_CTP_V01R00.h5,313,312,-212.068359375,810.6550903320312,-999.0,778.1328125,54.53940362087327,52.16269353649545,-378.623291015625,632.4969482421875,52.536454493323504,57.76091586794462,13709839.322146516,2026-02-15T03:34:05.634163
3RIMG_24JAN2026_1115_L2B_CTP_V01R00.h5,313,312,-219.8272247314453,808.8880615234375,-999.0,778.3768310546875,55.014540837224544,52.536454493323504,-383.7120056152344,632.1976318359375,52.91431146063734,58.32923732284755,13709845.152896116,2026-02-15T03:34:05.654417
3RIMG_24JAN2026_1145_L2B_CTP_V01R00.h5,313,312,-222.16026306152344,807.5524291992188,-999.0,777.1365966796875,55.176333251413126,52.66650282624723,-384.6383972167969,632.0235595703125,53.03309576472516,58.57704595723765,13709889.369049568,2026-02-15T03:34:05.672910
3RIMG_24JAN2026_1215_L2B_CTP_V01R00.h5,313,312,-219.29409790039062,806.771728515625,-999.0,779.9017333984375,55.00737281887441,52.46682231506513,-381.789794921875,631.994140625,52.77811911198492,58.41832555091341,13709904.678021083,2026-02-15T03:34:05.690899
3RIMG_24JAN2026_1245_L2B_CTP_V01R00.h5,313,312,-224.89076232910156,805.1607666015625,-999.0,777.4979248046875,55.33914966822315,52.7863111329565,-385.21990966796875,631.7356567382812,53.106823953469316,58.79003850249857,13709934.756378317,2026-02-15T03:34:05.709054
3RIMG_24JAN2026_1315_L2B_CTP_V01R00.h5,313,312,-224.78817749023438,804.1818237304688,-999.0,779.5992431640625,55.293069550258046,52.75866306217743,-384.45916748046875,631.6510620117188,53.07712787744736,58.78389448676988,13709964.460291734,2026-02-15T03:34:05.726005
3RIMG_24JAN2026_1345_L2B_CTP_V01R00.h5,313,312,-231.04238891601562,802.2997436523438,-999.0,777.53662109375,55.56750225280577,53.04947980666831,-388.3004150390625,631.36767578125,53.42119275825347,59.14639141476202,13709994.636090951,2026-02-15T03:34:05.744066
3RIMG_24JAN2026_1415_L2B_CTP_V01R00.h5,313,312,-231.54640197753906,800.7333374023438,-999.0,777.71484375,55.53166216105513,53.07610387482592,-387.6290588378906,631.2088623046875,53.456008847382655,59.120791349225854,13710024.5783127,2026-02-15T03:34:05.761067
3RIMG_24JAN2026_1445_L2B_CTP_V01R00.h5,313,312,-231.36712646484375,799.384033203125,-999.0,777.8663330078125,55.51937412959778,53.009543704431884,-386.5172119140625,631.1148071289062,53.458056852625546,59.111575325632835,13710054.522171218,2026-02-15T03:34:05.781119
3RIMG_24JAN2026_1515_L2B_CTP_V01R00.h5,313,312,-229.43463134765625,798.436279296875,-999.0,777.877685546875,55.41390185958876,52.916359465880234,-384.2337951660156,631.0972900390625,53.32493651183747,59.14639141476202,13710084.364998933,2026-02-15T03:34:05.801534
3RIMG_24JAN2026_1545_L2B_CTP_V01R00.h5,313,312,-233.68373107910156,796.88232421875,-999.0,777.5686645507812,55.56852625542721,53.117063979683785,-386.62744140625,630.8992919921875,53.52154501515523,59.296919800114686,13710114.229684515,2026-02-15T03:34:05.819523
3RIMG_24JAN2026_1615_L2B_CTP_V01R00.h5,313,312,-235.2243194580078,795.6195068359375,-999.0,777.9457397460938,55.71086261980831,53.189768165806505,-387.001708984375,630.7606201171875,53.60346522487097,59.44335217498157,13710144.782481283,2026-02-15T03:34:05.839533
3RIMG_24JAN2026_1645_L2B_CTP_V01R00.h5,313,312,-230.55523681640625,795.140380859375,-999.0,776.1471557617188,55.42721389366757,52.811911198492666,-382.8392639160156,630.7603759765625,53.27271237814368,59.40341607274514,13710174.387584932,2026-02-15T03:34:05.857050
3RIMG_24JAN2026_1715_L2B_CTP_V01R00.h5,313,312,-228.1057586669922,795.4512939453125,-999.0,777.0150146484375,55.23674940607848,52.64807077906119,-381.0401306152344,630.842041015625,53.09146391414762,59.226263619234864,13710204.586972468,2026-02-15T03:34:05.875052
3RIMG_24JAN2026_1745_L2B_CTP_V01R00.h5,313,312,-226.65113830566406,796.9711303710938,-999.0,777.3985595703125,55.05857294994675,52.61837470303924,-380.9438171386719,631.0159912109375,53.066887851232906,58.97538297698042,13710234.553680116,2026-02-15T03:34:05.893051
3RIMG_24JAN2026_1815_L2B_CTP_V01R00.h5,313,312,-221.54632568359375,797.6292114257812,-999.0,776.8032836914062,54.76775620545589,52.312197919226676,-377.25152587890625,631.1671142578125,52.723846973048246,58.57499795199475,13710264.525795517,2026-02-15T03:34:05.910052
3RIMG_24JAN2026_1845_L2B_CTP_V01R00.h5,313,312,-221.37364196777344,798.7664184570312,-999.0,777.4179077148438,54.68583599574015,52.235397722618174,-377.9500427246094,631.3329467773438,52.65626280003277,58.509461784222175,13710294.4507637,2026-02-15T03:34:05.928056
3RIMG_24JAN2026_1915_L2B_CTP_V01R00.h5,313,312,-222.30349731445312,798.128173828125,-999.0,777.3373413085938,54.69914802981896,52.243589743589745,-378.2383728027344,631.3234252929688,52.622470713525026,58.58216597034488,13710324.819014734,2026-02-15T03:34:05.944904
3RIMG_24JAN2026_1945_L2B_CTP_V01R00.h5,313,312,-213.39016723632812,798.7769775390625,-999.0,776.5845947265625,54.061194396657655,51.65171622839354,-371.56585693359375,631.387451171875,52.0848693372655,58.09064471205046,13710354.831713617,2026-02-15T03:34:05.962906
3RIMG_24JAN2026_2015_L2B_CTP_V01R00.h5,313,312,-209.13943481445312,798.4373168945312,-999.0,776.7687377929688,53.77652166789547,51.354755468174,-367.90985107421875,631.38330078125,51.7889325796674,57.93192430572623,13710384.644468732,2026-02-15T03:34:05.979907
3RIMG_24JAN2026_2045_L2B_CTP_V01R00.h5,313,312,-210.1453399658203,798.6251831054688,-999.0,776.7976684570312,53.79597771770296,51.397763578274756,-368.86871337890625,631.4300537109375,51.79917260588187,57.81006799377406,13710414.772129815,2026-02-15T03:34:05.997904
3RIMG_24JAN2026_2115_L2B_CTP_V01R00.h5,313,312,-213.80523681640625,798.328369140625,-999.0,776.5299072265625,53.92500204800525,51.60256410256411,-371.643798828125,631.408447265625,51.932292946669946,58.13058081428688,13710444.763731966,2026-02-15T03:34:06.015576
3RIMG_24JAN2026_2145_L2B_CTP_V01R00.h5,313,312,-207.46002197265625,798.2109375,-999.0,776.7243041992188,53.53280904399115,51.16531498320636,-366.4111633300781,631.4176635742188,51.54009994265585,57.7056197263865,13710475.097747885,2026-02-15T03:34:06.034602
3RIMG_24JAN2026_2215_L2B_CTP_V01R00.h5,313,312,-208.5000457763672,798.154541015625,-999.0,776.4172973632812,53.60346522487097,51.185795035635294,-367.26739501953125,631.4274291992188,51.59027607110674,57.71585975260096,13710504.963534933,2026-02-15T03:34:06.053121
3RIMG_24JAN2026_2245_L2B_CTP_V01R00.h5,313,312,-218.3093719482422,797.9169921875,-999.0,776.5509643554688,54.155402637830754,51.73363643810928,-375.09063720703125,631.3670654296875,52.1309494552306,58.31694929139019,13710535.032267066,2026-02-15T03:34:06.070636
3RIMG_24JAN2026_2315_L2B_CTP_V01R00.h5,313,312,-219.0869140625,797.3140869140625,-999.0,776.5224609375,54.12058654870157,51.78381256656017,-375.2981872558594,631.3111572265625,52.152453510280985,58.3609814041124,13710565.163181733,2026-02-15T03:34:06.089127
3RIMG_24JAN2026_2345_L2B_CTP_V01R00.h5,313,312,-220.6619110107422,797.921630859375,-999.0,776.6243896484375,54.27725894978291,51.90874088637667,-376.9914855957031,631.35302734375,52.24563774883264,58.369173425083964,13710595.431867117,2026-02-15T03:34:06.106224
