Magnitude,Latitude,Longitude,Depth,Hazard_Level
5.5,19.139,121.187,33.0,0
6.0,-56.197,147.343,6.0,1
6.2,1.105,-79.535,21.0,1
6.3,40.84,28.142,4.0,1
5.8,-13.119,167.124,206.0,0
6.3,4.51,127.758,115.0,1
6.0,5.795,124.106,16.0,1
5.7,36.244,71.285,101.0,0
5.7,-23.488,-68.079,139.0,0
5.7,0.353,124.839,11.0,0
6.5,-47.843,99.758,7.0,1
5.6,35.952,70.518,103.0,0
5.8,5.755,124.233,15.0,0
6.5,-25.981,-178.317,270.0,1
5.8,48.706,149.779,371.0,0
5.8,39.014,70.663,11.0,0
6.2,-4.714,153.235,53.0,1
5.9,2.049,96.789,28.0,0
5.4,49.394,155.459,41.0,0
5.6,-57.32,-25.591,37.0,0
7.1,-6.205,151.764,14.0,2
5.7,-15.512,-174.542,208.0,0
7.0,52.46,-32.111,13.0,2
5.9,2.117,126.759,44.0,0
6.1,31.002,131.473,33.0,1
6.4,-57.054,-142.251,13.0,1
5.6,-7.586,128.606,136.0,0
5.6,-10.053,119.035,25.0,0
7.1,-20.417,-173.772,16.0,2
6.6,0.718,-29.763,9.0,1
7.9,22.013,95.922,35.0,2
6.1,0.739,-29.67,12.0,1
5.7,-56.198,-27.715,109.0,0
6.7,-46.655,165.98,26.0,1
5.6,51.259,-176.2,22.0,0
6.3,51.178,-176.146,18.0,1
6.2,7.036,-82.372,13.0,1
5.6,51.052,-176.059,21.0,0
5.9,-2.872,130.161,23.0,0
5.9,-55.738,-27.112,26.0,0
5.5,1.136,120.232,25.0,0
5.9,6.959,92.518,21.0,0
6.4,71.197,-8.193,15.0,1
5.8,28.743,130.293,31.0,0
5.7,28.696,130.235,29.0,0
6.0,-23.391,-69.073,99.0,1
5.6,24.743,94.484,40.0,0
5.6,-5.937,130.718,136.0,0
6.0,55.476,164.61,12.0,1
6.2,0.391,124.829,19.0,1
6.1,-11.283,166.267,45.0,1
5.5,-15.415,-173.85,115.0,0
5.7,-3.373,131.034,24.0,0
5.7,-26.182,-71.202,42.0,0
5.7,49.984,88.303,24.0,0
6.1,8.956,39.934,29.0,1
5.8,55.616,-154.912,22.0,0
5.9,-17.508,167.744,22.0,0
7.6,17.702,-82.456,13.0,2
6.0,-23.918,-176.143,63.0,1
5.8,-9.8,97.588,28.0,0
5.9,2.991,128.133,103.0,0
5.8,3.177,97.034,58.0,0
5.6,0.536,-25.172,6.0,0
5.6,0.443,121.211,89.0,0
5.8,-28.165,-175.998,24.0,0
5.6,53.407,-167.457,57.0,0
5.7,-3.914,150.768,7.0,0
5.8,10.131,125.18,14.0,0
6.1,23.234,120.475,17.0,1
6.9,31.86,131.519,31.0,1
7.2,28.639,87.361,14.0,2
6.2,13.053,-89.172,54.0,1
5.7,9.505,40.169,7.0,0
5.8,-28.228,-67.365,153.0,0
6.0,-17.71,168.026,49.0,1
7.5,-17.711,168.03,22.0,2
5.9,-18.565,-175.273,230.0,0
6.4,-35.321,-70.9,114.0,1
5.9,51.112,-177.213,20.0,0
5.6,51.037,-177.55,22.0,0
6.4,50.902,-177.103,18.0,1
6.4,51.014,-177.325,21.0,1
6.1,48.835,152.317,214.0,1
5.8,-40.256,-16.764,6.0,0
5.6,1.556,121.209,37.0,0
7.1,40.37,-125.025,11.0,2
5.5,52.017,-170.791,27.0,0
5.4,31.7,49.583,25.0,0
5.7,18.502,120.897,42.0,0
5.6,25.282,126.059,49.0,0
5.8,-37.691,179.767,23.0,0
5.5,49.351,155.491,43.0,0
6.1,37.072,136.467,8.0,1
5.8,-17.9,-178.439,597.0,0
5.8,79.813,1.492,6.0,0
6.2,29.071,131.348,15.0,1
6.6,-4.702,153.32,62.0,1
5.5,20.212,145.756,9.0,0
6.7,19.807,-76.955,18.0,1
5.8,19.852,-76.89,22.0,0
5.8,7.484,-82.323,9.0,0
6.3,-46.786,-76.169,11.0,1
5.5,-42.254,74.923,10.0,0
6.0,25.441,142.854,8.0,1
5.9,-4.79,153.302,45.0,0
5.8,51.66,-175.691,32.0,0
5.6,56.326,-34.064,7.0,0
6.2,49.401,155.698,33.0,1
5.8,-1.099,127.418,9.0,0
5.9,-1.176,127.417,7.0,0
5.5,25.249,142.783,18.0,0
5.9,-27.867,-176.318,7.0,0
5.9,36.561,70.59,213.0,0
6.0,38.309,38.826,13.0,1
6.2,10.544,-86.125,18.0,1
5.9,-31.921,-66.794,142.0,0
5.4,51.224,-178.521,35.0,0
5.5,10.561,91.683,9.0,0
5.7,-27.439,-176.739,24.0,0
6.3,17.142,147.18,39.0,1
6.5,51.676,-130.632,6.0,1
5.6,1.338,118.461,13.0,0
5.8,29.8,130.855,27.0,0
6.3,-3.273,146.36,8.0,1
5.2,31.177,70.63,42.0,0
6.0,-21.293,-173.72,21.0,1
5.5,52.603,-33.266,15.0,0
6.4,-3.487,144.251,9.0,1
5.4,14.873,122.618,26.0,0
6.5,-6.839,155.517,39.0,1
5.7,52.606,-33.266,14.0,0
6.0,52.97,160.369,34.0,1
6.1,12.998,-89.562,24.0,1
6.0,-7.133,129.437,84.0,1
5.5,-8.718,110.181,51.0,0
7.0,-19.754,-175.041,104.0,2
5.6,52.826,160.271,35.0,0
5.7,12.744,124.767,54.0,0
7.1,52.949,159.966,39.0,2
5.6,-21.852,-176.229,128.0,0
6.2,23.784,121.759,14.0,1
5.9,-30.388,-177.559,31.0,0
5.4,31.888,131.341,40.0,0
7.1,31.719,131.527,31.0,2
5.5,7.717,127.038,12.0,0
5.4,16.909,-93.817,137.0,0
5.6,-0.174,-18.309,15.0,0
6.4,8.17,126.764,14.0,1
7.0,8.186,126.612,22.0,2
5.5,54.109,-159.702,23.0,0
6.1,-20.371,-173.964,10.0,1
5.3,17.094,-99.888,24.0,0
5.6,-29.847,-177.018,23.0,0
5.9,-15.544,168.043,14.0,0
6.2,14.557,-89.966,272.0,1
7.3,-23.047,-67.782,154.0,2
5.7,-5.231,101.021,10.0,0
5.6,33.536,140.175,93.0,0
5.9,-16.269,-172.499,13.0,0
5.7,-27.82,-176.212,22.0,0
5.7,-15.573,-74.769,32.0,0
5.9,-4.611,-104.858,16.0,0
6.5,48.813,-128.725,13.0,1
7.1,6.065,123.16,638.0,2
5.8,-5.387,101.059,7.0,0
6.6,-53.312,25.31,20.0,1
6.2,26.888,138.828,577.0,1
5.5,55.6,162.117,56.0,0
5.8,48.693,-129.003,12.0,0
6.1,-16.122,-74.579,26.0,1
7.2,-15.811,-74.445,17.0,2
5.9,-33.435,-179.074,39.0,0
5.7,8.076,90.425,26.0,0
6.4,-14.609,167.249,149.0,1
6.0,10.753,-62.63,89.0,1
5.6,0.825,-26.21,15.0,0
5.8,-16.535,-173.831,95.0,0
5.7,-11.451,166.194,55.0,0
6.0,-15.919,-74.539,32.0,1
6.0,-61.009,154.236,16.0,1
6.0,-30.915,-13.472,6.0,1
5.8,4.384,126.49,53.0,0
5.8,-5.431,154.1,126.0,0
6.3,-53.858,-133.989,6.0,1
5.9,50.146,147.642,638.0,0
5.7,-3.627,100.699,23.0,0
5.7,37.457,137.239,12.0,0
5.8,34.16,86.39,5.0,0
5.9,2.831,95.604,24.0,0
6.6,-19.377,-174.869,139.0,1
6.3,-17.109,167.884,24.0,1
5.9,52.217,-170.943,31.0,0
5.9,-3.848,152.128,4.0,0
5.8,-29.508,-178.261,196.0,0
5.9,-31.514,-178.451,40.0,0
6.4,14.452,-92.363,48.0,1
